comentario,estrelas,confianca,classificacao
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Produto péssimo, não compro mais.",1,0.95,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Produto péssimo, não compro mais.",1,0.95,Negativo
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Amei essa campanha, ficou incrível!",5,0.74,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
Esperava mais pelo preço.,3,0.44,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
Esperava mais pelo preço.,3,0.44,Neutro
"Achei ok, nada demais.",3,0.53,Neutro
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Não gostei, propaganda enganosa.",1,0.89,Negativo
"Achei ok, nada demais.",3,0.53,Neutro
"Sensacional, estão de parabéns 👏👏",5,0.63,Positivo
